,a_CT,a_TA,Ps,F0,SPL
20639,0.7,0.94,710.0,193.05019305019306,67.6582685417434
20640,0.72,0.94,710.0,196.07843137254903,67.61912439759257
20641,0.74,0.94,710.0,200.0,67.54339794727541
20642,0.76,0.94,710.0,203.2520325203252,67.49239751097284
20643,0.78,0.94,710.0,207.4688796680498,67.38225927337858
20644,0.8,0.94,710.0,210.9704641350211,67.35795712131033
20645,0.8200000000000001,0.94,710.0,215.51724137931035,67.29070763669912
20646,0.84,0.94,710.0,219.2982456140351,67.1312042403154
20647,0.86,0.94,710.0,224.2152466367713,67.03342926221264
20648,0.88,0.94,710.0,229.3577981651376,66.88973156851691
20649,0.9,0.94,710.0,234.7417840375587,66.75749637077763
20650,0.92,0.94,710.0,240.3846153846154,66.59291708700998
20651,0.94,0.94,710.0,247.52475247524754,66.40767433506555
20652,0.96,0.94,710.0,255.10204081632654,66.21638123820243
20653,0.98,0.94,710.0,263.1578947368421,65.98405598235587
20654,1.0,0.94,710.0,273.224043715847,65.72659781600342
20655,0.0,0.96,710.0,85.03401360544218,77.50119077911921
20656,0.02,0.96,710.0,87.41258741258741,76.785626429574
20657,0.04,0.96,710.0,88.80994671403197,75.39370117545913
20658,0.06,0.96,710.0,90.09009009009009,74.51451720934939
20659,0.08,0.96,710.0,92.08103130755065,73.97465686241416
20660,0.1,0.96,710.0,92.42144177449168,73.17674964397843
20661,0.12,0.96,710.0,93.63295880149813,72.24980178967078
20662,0.14,0.96,710.0,94.6969696969697,71.65973475531013
20663,0.16,0.96,710.0,96.52509652509653,71.12115493248112
20664,0.18,0.96,710.0,98.4251968503937,70.33443066711223
20665,0.2,0.96,710.0,100.40160642570281,69.91612457185938
20666,0.22,0.96,710.0,102.6694045174538,69.49311017669297
20667,0.24,0.96,710.0,105.26315789473684,69.00722081510169
20668,0.26,0.96,710.0,107.52688172043011,68.64997161287161
20669,0.28,0.96,710.0,110.13215859030836,68.23319561567811
20670,0.3,0.96,710.0,113.37868480725623,67.84783624845923
20671,0.32,0.96,710.0,116.27906976744185,67.73572191682345
20672,0.34,0.96,710.0,119.61722488038278,67.4187767989664
20673,0.36,0.96,710.0,123.45679012345678,67.16595629661629
20674,0.38,0.96,710.0,127.55102040816327,67.15666946185928
20675,0.4,0.96,710.0,133.6898395721925,67.25263456303794
20676,0.42,0.96,710.0,139.66480446927375,67.40991919858132
20677,0.44,0.96,710.0,144.0922190201729,67.43451037368352
20678,0.46,0.96,710.0,148.3679525222552,67.37150173038694
20679,0.48,0.96,710.0,152.9051987767584,67.48742254521841
20680,0.5,0.96,710.0,156.73981191222572,67.59773288514285
20681,0.52,0.96,710.0,160.25641025641025,67.5219987327432
20682,0.54,0.96,710.0,163.3986928104575,67.50173265781814
20683,0.56,0.96,710.0,167.22408026755852,67.54119949698364
20684,0.5800000000000001,0.96,710.0,170.64846416382252,67.53896078243665
20685,0.6,0.96,710.0,174.21602787456445,67.54853303483168
20686,0.62,0.96,710.0,177.93594306049823,67.50466320845591
20687,0.64,0.96,710.0,181.15942028985506,67.58894288502093
20688,0.6599999999999999,0.96,710.0,184.50184501845018,67.55241531454894
20689,0.6799999999999999,0.96,710.0,187.9699248120301,67.57941195573224
20690,0.7,0.96,710.0,191.57088122605364,67.5993365600778
20691,0.72,0.96,710.0,195.3125,67.57771561632565
20692,0.74,0.96,710.0,198.4126984126984,67.5064380198313
20693,0.76,0.96,710.0,202.42914979757086,67.42385963354027
20694,0.78,0.96,710.0,205.76131687242798,67.38192826977622
20695,0.8,0.96,710.0,210.08403361344537,67.30063358235168
20696,0.8200000000000001,0.96,710.0,213.67521367521368,67.23365828467263
20697,0.84,0.96,710.0,218.34061135371178,67.13580430015458
20698,0.86,0.96,710.0,222.22222222222223,67.02762155887027
20699,0.88,0.96,710.0,227.27272727272728,66.88369251486913
20700,0.9,0.96,710.0,232.5581395348837,66.73148455859642
20701,0.92,0.96,710.0,238.0952380952381,66.58404590403659
20702,0.94,0.96,710.0,245.09803921568627,66.41209604712846
20703,0.96,0.96,710.0,252.5252525252525,66.24649450774118
20704,0.98,0.96,710.0,260.4166666666667,65.9789265527514
20705,1.0,0.96,710.0,270.27027027027026,65.90094006566834
20706,0.0,0.98,710.0,84.03361344537815,77.48461820738478
20707,0.02,0.98,710.0,86.65511265164645,77.05701896283608
20708,0.04,0.98,710.0,88.49557522123894,75.95077640470143
20709,0.06,0.98,710.0,89.60573476702508,74.77223952120849
20710,0.08,0.98,710.0,91.07468123861567,73.9607555824038
20711,0.1,0.98,710.0,92.42144177449168,73.40562542205879
20712,0.12,0.98,710.0,93.10986964618249,72.60952027113933
20713,0.14,0.98,710.0,94.16195856873823,71.8501521333661
20714,0.16,0.98,710.0,95.60229445506693,71.14430446745794
20715,0.18,0.98,710.0,97.46588693957115,70.62448493113264
20716,0.2,0.98,710.0,99.60159362549801,70.02463283873838
20717,0.22,0.98,710.0,102.04081632653062,69.61305576788143
20718,0.24,0.98,710.0,104.38413361169103,69.11021336257132
20719,0.26,0.98,710.0,106.60980810234541,68.74699414454427
20720,0.28,0.98,710.0,109.40919037199124,68.31361000846476
20721,0.3,0.98,710.0,112.10762331838565,68.03582922880318
20722,0.32,0.98,710.0,114.94252873563218,67.65504653349167
20723,0.34,0.98,710.0,118.2033096926714,67.3265122841729
20724,0.36,0.98,710.0,121.95121951219512,67.28245838348957
20725,0.38,0.98,710.0,125.94458438287154,67.05463599726384
20726,0.4,0.98,710.0,130.89005235602093,67.04486891286118
20727,0.42,0.98,710.0,138.12154696132598,67.29665999117779
20728,0.44,0.98,710.0,142.85714285714286,67.32688081473485
20729,0.46,0.98,710.0,147.05882352941177,67.42196228614827
20730,0.48,0.98,710.0,151.05740181268882,67.44028718182604
20731,0.5,0.98,710.0,154.79876160990713,67.38718177480565
20732,0.52,0.98,710.0,158.73015873015873,67.40103329733057
20733,0.54,0.98,710.0,162.33766233766235,67.44013913857295
20734,0.56,0.98,710.0,166.11295681063123,67.44572540720014
20735,0.5800000000000001,0.98,710.0,169.4915254237288,67.43514802140011
20736,0.6,0.98,710.0,173.01038062283737,67.45264260767439
20737,0.62,0.98,710.0,176.67844522968198,67.51249810245035
20738,0.64,0.98,710.0,179.85611510791367,67.46470975278113
20739,0.6599999999999999,0.98,710.0,183.8235294117647,67.51411841330055
20740,0.6799999999999999,0.98,710.0,187.26591760299627,67.48914040187418
20741,0.7,0.98,710.0,190.83969465648855,67.52103231251272
20742,0.72,0.98,710.0,193.7984496124031,67.48458568113917
20743,0.74,0.98,710.0,197.62845849802372,67.43099086065092
20744,0.76,0.98,710.0,200.80321285140562,67.43929121435299
20745,0.78,0.98,710.0,204.91803278688525,67.33667147434643
20746,0.8,0.98,710.0,208.33333333333334,67.29775840957488
20747,0.8200000000000001,0.98,710.0,212.7659574468085,67.18295592276631
20748,0.84,0.98,710.0,216.45021645021646,67.12520548169343
20749,0.86,0.98,710.0,221.23893805309734,67.02540851329968
20750,0.88,0.98,710.0,225.22522522522522,66.88828597391343
20751,0.9,0.98,710.0,230.4147465437788,66.76122759302486
20752,0.92,0.98,710.0,236.96682464454977,66.55723753731142
20753,0.94,0.98,710.0,242.71844660194174,66.42597492276892
20754,0.96,0.98,710.0,250.0,66.25028992185632
20755,0.98,0.98,710.0,257.7319587628866,66.08932404583656
20756,1.0,0.98,710.0,265.9574468085106,65.73065675687036
20757,0.0,1.0,710.0,83.19467554076539,77.76128742128375
20758,0.02,1.0,710.0,85.76329331046313,77.24273839900869
20759,0.04,1.0,710.0,88.02816901408451,76.32159053340887
20760,0.06,1.0,710.0,89.12655971479501,74.96287893332249
20761,0.08,1.0,710.0,90.41591320072332,74.14895285207982
20762,0.1,1.0,710.0,92.08103130755065,73.62213240654617
20763,0.12,1.0,710.0,92.5925925925926,72.78419242342197
20764,0.14,1.0,710.0,93.63295880149813,71.84967502420388
20765,0.16,1.0,710.0,95.05703422053232,71.30066749281102
20766,0.18,1.0,710.0,96.89922480620154,70.77406618407247
20767,0.2,1.0,710.0,98.81422924901186,70.03606953129994
20768,0.22,1.0,710.0,101.01010101010101,69.5947855711557
20769,0.24,1.0,710.0,103.51966873706004,69.06415808534504
20770,0.26,1.0,710.0,105.70824524312897,68.7200924514618
20771,0.28,1.0,710.0,108.45986984815619,68.250849553129
20772,0.3,1.0,710.0,110.86474501108647,67.97580594070568
20773,0.32,1.0,710.0,114.15525114155251,67.73055844152584
20774,0.34,1.0,710.0,116.82242990654206,67.48698803155409
20775,0.36,1.0,710.0,120.48192771084338,67.18804794050536
20776,0.38,1.0,710.0,124.06947890818859,67.04445872632404
20777,0.4,1.0,710.0,128.8659793814433,66.99357106485431
20778,0.42,1.0,710.0,134.40860215053763,67.07062161202109
20779,0.44,1.0,710.0,140.4494382022472,67.17958479628804
