,a_CT,a_TA,PL,Ps,F0,SPL
33384,0.45,0.025,1200,1214.47194291594,280.891719745223,97.150012360997
33385,0.45,0.025,1250,1267.94734140001,282.692307692308,98.03184347121399
33386,0.45,0.025,1300,1320.86614217958,284.516129032258,98.85663873766401
33387,0.45,0.025,1350,1383.45067275926,285.899513776337,99.563123394379
33388,0.45,0.025,1400,1436.60583335701,287.765089722675,100.23511162248201
33389,0.45,0.025,1450,1487.23542046117,289.180327868852,100.80753860063999
33390,0.45,0.025,1500,1540.99304778788,291.089108910891,101.325047490255
33391,0.45,0.025,1550,1593.00416331295,293.023255813953,101.81141933186001
33392,0.45,0.025,1600,1643.6200854866,295.477386934673,102.25928140051201
33393,0.45,0.025,1650,1706.26356274815,297.972972972973,102.688035881497
33394,0.45,0.025,1700,1755.56930022714,300.511073253833,103.03966879295999
33395,0.45,0.025,1750,1805.27406949686,303.092783505155,103.39142016510499
33396,0.45,0.025,1800,1858.55368522538,305.719237435009,103.76616856196199
33397,0.45,0.025,1850,1916.87891862247,308.391608391608,104.11701490062799
33398,0.45,0.025,1900,1966.54888304003,310.56338028169,104.476359255609
33399,0.45,0.025,1950,2016.52986241592,313.321492007105,104.88954767505601
33400,0.45,0.025,2000,2080.00358555818,315.0,105.306542190649
33416,0.5,0.125,500,510.563279993186,273.913043478261,91.734238649885
33417,0.5,0.125,550,562.414066555331,276.489028213166,93.393161475965
33418,0.5,0.125,600,612.519671580651,278.672985781991,94.679718451483
33419,0.5,0.125,650,662.884060860827,280.445151033386,95.752686420864
33420,0.5,0.125,700,713.769581872039,281.789137380192,96.66491573951
33421,0.5,0.125,750,764.127469164681,283.601286173633,97.423608933432
33422,0.5,0.125,800,817.720673668023,284.516129032258,98.12253185874599
33423,0.5,0.125,850,865.664891225392,285.899513776337,98.79545056071001
33424,0.5,0.125,900,917.568122594795,286.829268292683,99.37188856518699
33425,0.5,0.125,950,969.925954216028,287.765089722675,99.98343644733399
33426,0.5,0.125,1000,1024.12795962723,288.707037643208,100.508735525146
33427,0.5,0.125,1050,1079.21592405139,289.655172413793,100.984500854103
33428,0.5,0.125,1100,1130.96732719807,290.609555189456,101.43638651083
33429,0.5,0.125,1150,1182.71175915733,291.570247933884,101.86149729814301
33430,0.5,0.125,1200,1233.93238182085,292.05298013245,102.281451791308
33431,0.5,0.125,1250,1290.37388415365,293.023255813953,102.706544848601
33432,0.5,0.125,1300,1348.12909637855,294.0,103.03124406180001
33433,0.5,0.125,1350,1400.99979293975,294.49081803005,103.38763974623299
33434,0.5,0.125,1400,1452.68651781721,295.477386934673,103.71066843079501
33435,0.5,0.125,1450,1505.12543684068,295.973154362416,104.013959419337
33436,0.5,0.125,1500,1548.09486598638,296.969696969697,104.31793924664001
33437,0.5,0.125,1550,1609.06498006552,297.470489038786,104.598888767962
33438,0.5,0.125,1600,1655.22413197495,298.477157360406,104.858257891449
33439,0.5,0.125,1650,1713.56494381534,299.490662139219,105.18016953384799
33440,0.5,0.125,1700,1767.37478015694,300.0,105.49325326048901
33441,0.5,0.125,1750,1816.82180558273,301.023890784983,105.75230639622
33442,0.5,0.125,1800,1878.99934410757,302.054794520548,106.02252901826799
33443,0.5,0.125,1850,1919.52758030427,302.572898799314,106.320199435168
33444,0.5,0.125,1900,1985.08137622059,303.614457831325,106.615128584058
33445,0.5,0.125,1950,2023.94192032744,304.663212435233,106.89378212953301
33446,0.5,0.125,2000,2088.66858316393,305.190311418685,107.149803223509
33462,0.525,0.125,500,512.396345395754,278.672985781991,91.801372558252
33463,0.525,0.125,550,563.983361225391,280.891719745223,93.213903873049
33464,0.525,0.125,600,612.8840754954,283.14606741573,94.408291137131
33465,0.525,0.125,650,666.422471573477,284.516129032258,95.415394094893
33466,0.525,0.125,700,719.107614353576,286.363636363636,96.266869883962
33467,0.525,0.125,750,769.996570835677,287.765089722675,97.048448154256
33468,0.525,0.125,800,821.883636166555,289.180327868852,97.783404458057
33469,0.525,0.125,850,873.392543698222,290.131578947368,98.43896507186801
